Id,Title,Category,Diagram,Interaction,Priority,State,Changed By,Description,Justification,Last Modified
46,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,App Response to WS,High,Not Started,,Apache Tomcat Web & Application Server may be able to impersonate the context of Spotify in order to gain additional privilege.,,Generated
1,Spoofing of the Internet External Destination Entity,Spoofing,Diagram 1,"Login Request, Search Query",High,Not Started,,Internet may be spoofed by an attacker and this may lead to data being sent to the attacker's target instead of Internet. Consider using a standard authentication mechanism to identify the external entity.,,Generated
5,Spoofing the Internet External Entity,Spoofing,Diagram 1,HTTPS Response,High,Not Started,,Internet may be spoofed by an attacker and this may lead to unauthorized access to Chrome on Windows 11. Consider using a standard authentication mechanism to identify the external entity.,,Generated
14,Spoofing of the Internet External Destination Entity,Spoofing,Diagram 1,"Login Request, Search Query",High,Not Started,,Internet may be spoofed by an attacker and this may lead to data being sent to the attacker's target instead of Internet. Consider using a standard authentication mechanism to identify the external entity.,,Generated
18,Spoofing the Internet External Entity,Spoofing,Diagram 1,HTTPS Response,High,Mitigated,RAJSURYA\rajsu,Internet may be spoofed by an attacker and this may lead to unauthorized access to Chrome on Android. Consider using a standard authentication mechanism to identify the external entity.,[RS]:Use strong authentication mechanisms like mutual TLS to verify the identity of external internet entities before granting access to Chrome on Android.,03-07-2025 19:37:41
28,Spoofing the Internet External Entity,Spoofing,Diagram 1,HTTPS Request,High,Not Started,,Internet may be spoofed by an attacker and this may lead to unauthorized access to Apache Tomcat Web & Application Server. Consider using a standard authentication mechanism to identify the external entity.,,Generated
39,Spoofing of the Internet External Destination Entity,Spoofing,Diagram 1,HTTPS Response,High,Not Started,,Internet may be spoofed by an attacker and this may lead to data being sent to the attacker's target instead of Internet. Consider using a standard authentication mechanism to identify the external entity.,,Generated
47,Spoofing of Destination Data Store PostgreSQL 15,Spoofing,Diagram 1,"Fetch User Info, Insert Record",High,Not Started,,PostgreSQL 15 may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of PostgreSQL 15. Consider using a standard authentication mechanism to identify the destination data store.,,Generated
50,Spoofing of Source Data Store PostgreSQL 15,Spoofing,Diagram 1,Secure Database Response,High,Not Started,,PostgreSQL 15 may be spoofed by an attacker and this may lead to incorrect data delivered to Spotify. Consider using a standard authentication mechanism to identify the source data store.,,Generated
30,Cross Site Scripting,Tampering,Diagram 1,HTTPS Request,High,Not Started,,The web server 'Apache Tomcat Web & Application Server' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
42,Apache Tomcat Web & Application Server Process Memory Tampered,Tampering,Diagram 1,WS Request to App,High,Not Started,,"If Apache Tomcat Web & Application Server is given access to memory, such as shared memory or pointers, or is given the ability to control what Spotify executes (for example, passing back a function pointer.), then Apache Tomcat Web & Application Server can tamper with Spotify. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
43,Cross Site Scripting,Tampering,Diagram 1,WS Request to App,High,Not Started,,The web server 'Spotify' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
45,Cross Site Scripting,Tampering,Diagram 1,App Response to WS,High,Not Started,,The web server 'Apache Tomcat Web & Application Server' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
48,Potential SQL Injection Vulnerability for PostgreSQL 15,Tampering,Diagram 1,"Fetch User Info, Insert Record",High,Mitigated,RAJSURYA\rajsu,SQL injection is an attack in which malicious code is inserted into strings that are later passed to an instance of SQL Server for parsing and execution. Any procedure that constructs SQL statements should be reviewed for injection vulnerabilities because SQL Server will execute all syntactically valid queries that it receives. Even parameterized data can be manipulated by a skilled and determined attacker.,[RS]:Use parameterized queries and input validation to prevent SQL injection vulnerabilities in SQL statements.,03-07-2025 19:38:53
51,Cross Site Scripting,Tampering,Diagram 1,Secure Database Response,High,Not Started,,The web server 'Spotify' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
52,Persistent Cross Site Scripting,Tampering,Diagram 1,Secure Database Response,High,Not Started,,The web server 'Spotify' could be a subject to a persistent cross-site scripting attack because it does not sanitize data store 'PostgreSQL 15' inputs and output.,,Generated
2,External Entity Internet Potentially Denies Receiving Data,Repudiation,Diagram 1,"Login Request, Search Query",High,Not Started,,"Internet claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
7,Potential Data Repudiation by Chrome on Windows 11,Repudiation,Diagram 1,HTTPS Response,High,Not Started,,"Chrome on Windows 11 claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
15,External Entity Internet Potentially Denies Receiving Data,Repudiation,Diagram 1,"Login Request, Search Query",High,Not Started,,"Internet claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
20,Potential Data Repudiation by Chrome on Android,Repudiation,Diagram 1,HTTPS Response,High,Not Started,,"Chrome on Android claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
31,Potential Data Repudiation by Apache Tomcat Web & Application Server,Repudiation,Diagram 1,HTTPS Request,High,Not Started,,"Apache Tomcat Web & Application Server claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
40,External Entity Internet Potentially Denies Receiving Data,Repudiation,Diagram 1,HTTPS Response,High,Mitigated,RAJSURYA\rajsu,"Internet claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.","[RS]:Enable logging and auditing to capture the source, timestamp, and summary of all data transmitted across the trust boundary to the Internet.",03-07-2025 19:40:00
53,Weak Access Control for a Resource,Information Disclosure,Diagram 1,Secure Database Response,High,Mitigated,RAJSURYA\rajsu,Improper data protection of PostgreSQL 15 can allow an attacker to read information not intended for disclosure. Review authorization settings.,[RS]:Enforce role-based access controls and regularly review PostgreSQL 15 authorization and encryption settings to protect sensitive data.,03-07-2025 19:40:56
3,"Data Flow Login Request, Search Query Is Potentially Interrupted",Denial Of Service,Diagram 1,"Login Request, Search Query",High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
9,Potential Process Crash or Stop for Chrome on Windows 11,Denial Of Service,Diagram 1,HTTPS Response,High,Not Started,,"Chrome on Windows 11 crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
10,Data Flow HTTPS Response Is Potentially Interrupted,Denial Of Service,Diagram 1,HTTPS Response,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
16,"Data Flow Login Request, Search Query Is Potentially Interrupted",Denial Of Service,Diagram 1,"Login Request, Search Query",High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
22,Potential Process Crash or Stop for Chrome on Android,Denial Of Service,Diagram 1,HTTPS Response,High,Not Started,,"Chrome on Android crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
23,Data Flow HTTPS Response Is Potentially Interrupted,Denial Of Service,Diagram 1,HTTPS Response,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
33,Potential Process Crash or Stop for Apache Tomcat Web & Application Server,Denial Of Service,Diagram 1,HTTPS Request,High,Not Started,,"Apache Tomcat Web & Application Server crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
34,Data Flow HTTPS Request Is Potentially Interrupted,Denial Of Service,Diagram 1,HTTPS Request,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
41,Data Flow HTTPS Response Is Potentially Interrupted,Denial Of Service,Diagram 1,HTTPS Response,High,Mitigated,RAJSURYA\rajsu,An external agent interrupts data flowing across a trust boundary in either direction.,"[RS]:Use encryption (e.g., TLS) and message integrity checks to protect data in transit across trust boundaries from interception or tampering.",03-07-2025 19:42:18
49,Potential Excessive Resource Consumption for Spotify or PostgreSQL 15,Denial Of Service,Diagram 1,"Fetch User Info, Insert Record",High,Not Started,,"Does Spotify or PostgreSQL 15 take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.",,Generated
